,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
0,20150807,Bitcoin,8844.67,8817.97,8870.2,8742.84,1344006648,107.6533822,55.87407508,-27.85183371,9.277826229,0
1,20150807,Ethereum,87.7,89.58,111.88,79.76,5198548,0,0,0,0,0
2,20150807,Monero,23.48,23.06,23.75,21.49,4068736,1.260823167,65.95151813,288.7926972,68.5764988,0
3,20150808,Bitcoin,8260.56,8853.83,8859.72,8251.47,1852569450,46.51569789,47.81071776,-153.1404996,18.54221508,0
4,20150808,Ethereum,23.84,88.42,88.58,22.62,21338050,-1.43275641,0,-66.66666667,100,0
5,20150808,Monero,21.4,23.51,23.56,21.39,1857232,1.271908802,59.24034448,214.2350018,66.4740358,0
6,20150809,Bitcoin,8389.88,8264.32,8450.64,8243.81,752940840,8.401834694,49.48049656,-168.0419081,18.88633007,0
7,20150809,Ethereum,22.22,22.35,27.85,19.91,16843181,-1.875852153,0,-77.59429961,100,0
8,20150809,Monero,21.36,21.4,22.03,20.03,3222793,1.262908558,59.12066137,142.679434,40.92263613,0
9,20150810,Bitcoin,8378.15,8410.08,8459.31,8318.78,664606413,-22.49092803,49.33239304,-143.5039191,18.28176532,0
10,20150810,Ethereum,22.44,22.62,23.12,20.17,12838960,-2.023465393,0.357958595,-67.49754673,100,0
11,20150810,Monero,20.8,21.76,22.13,20.79,1055129,1.1967926,57.43999696,134.5543403,41.62685245,0
12,20150811,Bitcoin,8555.01,8363.78,8555.01,8355.93,804728596,-32.32986261,51.59235012,-105.2512755,11.58633555,0
13,20150811,Ethereum,33.79,22.4,35.8,20.98,46292484,-1.609434559,16.34045855,-39.59329437,58.98458393,0
14,20150811,Monero,19.1,20.78,20.8,18.96,2190137,0.99574115,52.73235887,46.54685436,14.846438,0
15,20150812,Bitcoin,8565.85,8701.62,8704.03,8536.69,862302818,-38.80526877,51.72886507,-65.69032833,1.977690508,0
16,20150812,Ethereum,39.15,34.05,41.48,28.41,69157487,-1.101097121,22.41965252,-19.34581712,44.76838078,0
17,20150812,Monero,20.03,19.42,20.94,19.36,1669749,0.901062765,54.8275313,66.35223259,16.14317161,0
18,20150813,Bitcoin,8488.06,8555.65,8557.23,8448.24,889867341,-49.64183747,50.66810148,-90.06436319,7.055670745,0
19,20150813,Ethereum,58.74,39.29,63.16,37.67,130775513,0.131330657,39.14030424,37.57675371,6.069802862,0
20,20150813,Monero,18.51,19.79,20.4,18.14,1647589,0.69536246,51.00498822,9.73337544,1.714501283,0
21,20150814,Bitcoin,8540.28,8490.52,8597.69,8405.21,870846624,-53.40060968,51.36074366,-79.19057776,9.493936048,0
