,0
0,1000000.0
1,1028890.7242
2,1063710.9750899998
3,1198409.0021300002
4,1158730.50663
5,1289087.90999
6,1327793.4326300002
7,1361876.8054228697
8,1315345.1222551747
9,1234348.7419551746
10,1226908.0801451746
11,1372192.1025451748
12,1337771.3025451747
13,1337033.3174451748
14,1292037.2174451747
15,1323429.8279451746
16,1344150.5069451747
17,1352577.5470451745
18,1450286.8970451746
19,1473175.9101451747
20,1458668.6329451746
21,1450949.9075451747
22,1399003.7975451746
23,1437202.9005851748
24,1432671.5129951749
25,1462378.8090551745
26,1375073.0664732698
27,1291903.2658880996
28,1294853.0002880995
29,1299418.7443780995
30,1330683.9443780994
31,1327113.556590338
32,1281501.1044308709
33,1331639.9368849478
34,1325301.3164814305
35,1363784.552425185
36,1373878.1007755378
37,1448515.4681572197
38,1472801.7681572197
39,1497395.7681572197
40,1548732.9181572197
41,1510511.7681572197
42,1530320.7681572197
43,1562647.46815722
44,1652794.25125722
45,1742669.5262872197
46,1766457.9762872197
47,1792211.1626072195
48,1902726.9026072198
49,2094330.49260722
50,1803955.7128918713
51,1992054.0480622258
52,1928476.3045222259
53,1744464.134522226
54,1704134.8925211313
55,1741771.0432847813
56,1921623.6932847812
57,1809503.270164781
58,1772046.8431815202
59,1815686.3183796273
60,1857423.1323196273
61,1837783.7454796273
62,1867652.9641337038
63,1812724.77041
64,1709912.6904100003
65,1762354.6504100002
66,1713352.5704100002
67,1572210.1304100002
68,1661509.5361121038
69,1440070.92519623
70,1466490.8629561292
71,1586928.904412175
72,1561235.5491876504
73,1596365.7837444248
74,1575498.663744425
75,1541107.7562844248
76,1479482.5662844249
77,1465879.646284425
78,1481275.8632501515
79,1473467.083407624
80,1427050.8086403045
81,1440611.7873956333
82,1436168.6791156332
83,1445051.3085252878
84,1506749.9618914453
85,1551607.3833349985
86,1572729.460873598
87,1623279.404723598
88,1641563.8604229325
89,1756327.8755325314
90,1717209.9806161458
91,1763087.0642917391
92,1766791.0642917391
93,1735934.1289601354
94,1678023.8015699508
95,1699307.0415699508
96,1681791.8015699508
97,1623213.6015699508
98,1503704.8415699508
99,1561329.5455699507
100,1562617.1282399509
101,1560532.4498533774
102,1573357.434773448
103,1653913.2482325789
104,1626617.6662431257
105,1547607.7073124005
106,1545968.8673124004
107,1581430.2673124005
108,1554266.2163791535
109,1551541.5955123536
110,1580750.3955123536
111,1556228.4355123537
112,1479113.9516323537
113,1445725.9419123537
114,1451545.3705123537
115,1457108.8505123537
116,1473062.3305123537
117,1556330.1103523537
118,1593454.410412575
119,1589234.8777707445
120,1576859.2963607446
121,1547123.9792499535
122,1567920.3349492995
123,1558439.7749492994
124,1544691.8641992994
125,1516788.7628992996
126,1524653.1228992995
127,1548375.4376766775
128,1535158.0635317352
129,1536276.2598538075
130,1536855.3481847902
131,1527828.7704447901
132,1522284.5704447902
133,1516390.0042330783
134,1528789.6481978607
135,1515935.6353078606
136,1495735.8293478608
137,1502019.7893478607
138,1450948.5781557267
139,1289902.4703418603
140,1273211.8825947656
141,1229495.4425947657
142,1243649.2862757957
143,1246486.98200012
144,1228757.961942193
145,1259414.7408597895
146,1255750.445033863
147,1262403.2915744358
148,1247819.323627434
149,1240826.122438984
150,1231051.269894726
151,1210774.873901165
152,1242649.418458495
153,1238054.8145954835
154,1281683.2945954835
155,1277101.9564339835
156,1240744.7222439018
157,1239727.6068839016
158,1236800.2320039016
159,1248936.7452039018
160,1220445.885203902
161,1194855.0811530286
162,1207592.8496975387
163,1186072.4931289945
164,1185653.2529079143
165,1214191.0129079144
166,1215917.709049633
