,0
0,1000000.0
1,1050356.2910913588
2,1009270.8499315289
3,1013779.1002450184
4,1046302.9756667569
5,1050927.7380960628
6,1050407.0238367408
7,1027460.7041329795
8,979530.5640615295
9,997025.6033660563
10,999980.3708296673
11,953719.6123123394
12,966351.4525008718
13,956319.7196377149
14,995919.1171376514
15,1029510.5812774665
16,1020374.5736428739
17,1048610.197007591
18,1023026.7487858781
19,1096685.6073727163
20,1027376.9193287287
21,1040464.3078177214
22,1055913.836024839
23,1035371.476275261
24,1035472.328354452
25,1046938.9752187497
26,1046627.9394682575
27,1050585.0575250157
28,1053486.9272612226
29,998503.6005094347
30,1014078.6255077604
31,1013738.3264169374
32,1003972.9585085526
33,1011561.2926616925
34,1020392.6151597238
35,1013130.9046276348
36,1004598.4218147054
37,992301.4321789072
38,996569.946816495
39,993357.9794886716
40,1030011.7385325232
41,1027111.3482006978
42,992550.8381078404
43,986254.0239799183
44,977076.015694099
45,964354.6534989574
46,974130.1968228456
47,975475.1197379391
48,970920.2862279433
49,980376.5668696555
50,969548.3732036423
51,965446.5982647813
52,969895.0589914302
53,964645.9879130496
54,992441.9034291006
55,984436.4494063908
56,998629.5663800809
57,986098.2174404025
58,986807.8263811431
59,982930.0549154907
60,986775.1351526111
61,981929.8693043654
62,980508.5225238956
63,977859.4866048233
64,968015.2772678043
65,973073.6855961148
66,973799.0989056162
67,976905.5594429012
68,974046.9893471338
69,995122.2594214245
70,1012156.6627177396
71,1018323.5418413085
72,1014208.0914326754
73,1029172.1224213622
74,1053145.257015119
75,1164949.6555080607
76,1154540.818859707
77,1171908.7737195431
78,1174487.7724702042
79,1198080.7723039335
80,1244235.9879476896
81,1168579.7891134312
82,1189013.8997619096
83,1186162.5101898487
84,1244486.332035499
85,1248890.5910458653
86,1232587.1578462413
87,1246689.6342392773
88,1238695.185541846
89,1257131.4507804327
90,1207007.1735957637
91,1225632.6582630726
92,1246895.5961956359
93,1248522.8327663967
94,1258918.2826092478
95,1261828.7401074755
96,1297874.8247807883
97,1270554.1589015978
98,1248451.027529334
99,1257326.9486570186
100,1229118.784480947
101,1239114.5425595052
102,1237626.8390800618
103,1244870.002932829
104,1202032.6222377717
105,1214089.1545369942
106,1201145.8816845987
107,1222157.104374072
108,1218732.3914795546
109,1240283.7771835143
110,1235648.081594997
111,1265715.8931618899
112,1206314.4875978285
113,1081329.4259737802
114,1112841.713545744
115,1076287.3271767017
116,1088769.7114396496
117,1097150.0681825005
118,1070026.30741821
119,1082206.0632775174
120,1095634.1838537373
121,1100452.1348454722
122,1104948.8385881777
123,1091875.9193956987
124,1127384.7276972213
125,1137951.535867113
126,1155614.5416935124
127,1151421.115849054
128,1144905.638536911
129,1161881.4069034639
130,1144152.5134575283
131,1093861.8574044695
132,1104267.121832487
133,1079948.2035267847
134,1136888.3853621813
135,1129520.9515413519
136,1134940.4427878966
137,1138032.5061947352
138,1125234.034556577
139,1135259.0920584996
140,1126803.8269376878
141,1106744.8715905864
142,1104068.5208150032
143,1101493.9602774873
144,1114696.4536439823
145,1118857.4769241782
146,1103835.2079191
147,1104297.5037468623
148,1129720.4185516445
149,1141894.1485443239
150,1166358.914472241
151,1176349.043597542
152,1192194.619182549
153,1189663.935614012
154,1184379.2866644035
155,1194193.5831664857
156,1175788.5658350827
157,1179304.8574691303
158,1193849.3149419555
159,1218461.5522286037
160,1233865.687979327
161,1325854.222523203
162,1342188.2180523707
163,1335882.3109999562
164,1354114.3101847682
165,1346256.4718529244
166,1350006.689794448
167,1408568.0823339778
168,1369076.1040253658
169,1376329.731957906
170,1397899.5560920862
171,1422094.276595794
172,1417566.5775271403
173,1397428.6725023035
174,1439151.773033677
175,1457183.6557135899
176,1604696.8346808183
177,1605320.5299183195
178,1529815.7715764996
179,1596500.9704892745
180,1583388.5403748942
181,1578099.1284648373
182,1618464.821351457
183,1671007.1669564857
184,1678068.6888176082
185,1652393.6257733316
186,1640818.0081472604
187,1717014.369996005
188,1815718.1736096197
189,1832945.2242228582
190,1833920.584706798
191,1917728.66251452
192,1919882.8196263995
193,1891306.1033441178
194,1891194.1737735812
195,1963847.5425433402
196,1925607.1042586062
197,1765598.3707211297
198,1760979.1289959794
199,1823410.6433980174
200,1870682.232021412
201,2021522.2666957641
202,1932646.5793861384
203,1969923.8171692889
204,1993047.1602363815
205,1903751.6468296582
206,1950157.85605583
207,1969395.417223789
208,1955996.3074066634
209,1866738.284271954
210,1891831.8331451246
211,1858516.295964012
212,1835689.519350898
213,1912513.0043253454
214,1946820.8249332032
215,1952724.5504919996
216,1969849.522202901
217,2162277.706862589
218,2315995.5438896706
219,2351294.240685959
220,2425381.9100452857
221,2386188.0858441354
222,2315687.0700345705
223,2415701.3011830617
224,2361625.751393094
225,2408909.030919407
226,2504043.6451715706
227,2682874.80457429
228,2652661.289717317
229,2748064.469989308
230,2776114.9152250774
231,2922521.860545137
232,2939558.428823474
233,2975290.6632696656
234,3254113.6462569484
235,3323141.0309702125
236,3244450.8984964057
237,3431914.707213605
238,3723385.118259978
239,3974717.0873659737
240,4123627.2931489577
241,4069598.5069706645
242,3877630.2366585154
243,3586653.2610979867
244,3425966.202609987
245,3774550.282717786
246,3956523.7691932875
247,3719824.300162345
248,3653351.3777368264
249,3619494.991963587
250,3703047.6740587815
251,3633413.40880172
252,3576726.2772816606
253,3110557.044100973
254,3328657.9464077465
255,3235679.618166451
256,3258307.252516575
257,3263713.5373727856
258,3280977.645261634
259,3068823.1186594893
260,3460799.8251849185
261,3466884.8679880565
262,3464351.8751053624
263,3347560.1518604993
264,3383840.9566680295
265,3570282.063961074
266,3776467.3021321897
267,3720052.344935328
268,3851647.7100840826
269,3963930.100524445
270,3926792.5401647463
271,4648736.538141787
272,4676226.361282962
273,4531028.52233915
274,4829880.331340396
275,4803329.821732494
276,4765213.545166721
277,4925203.912440045
278,4845262.961603033
279,4981334.896161689
280,5255139.162157731
281,5197775.978918271
282,5632099.012133137
283,5650362.908719739
284,5798844.231564168
285,5442055.55517067
286,4910018.439873542
287,4992798.728549358
288,4730328.1434384305
289,4660504.9474169165
290,4645344.69689097
291,4540334.517145503
292,4980390.783584934
293,4862622.761697254
