,0
0,1000000.0
1,1000242.11888
2,1000178.41912
3,1001222.8228200001
4,1001292.4328000001
5,1000497.4011
6,1001107.06498
7,999231.90442
8,997649.4893
9,997325.60988
10,968488.6246
11,979469.2013599998
12,986272.8986399999
13,984377.3077199999
14,983281.3814399999
15,981090.1323599999
16,962603.86836
17,977463.0788199999
18,978065.1343999999
19,976860.3157199998
20,983582.9196799998
21,982063.5467799997
22,980598.4455199997
23,982510.1301799996
24,981145.0110799997
25,982056.6882399997
26,979304.5483399997
27,984963.5737199998
28,996025.9689599997
29,1005147.9285799997
30,1005131.6531199997
31,1013141.8776799997
32,1000735.5433399996
33,999890.3761999997
34,1000363.0941999997
35,990403.3578399997
36,979377.8655999997
37,979679.6391999997
38,979964.8842399998
39,977144.2613799997
40,977895.7704599996
41,985153.4403799996
42,979727.0729199997
43,978931.2342999997
44,967182.3738399998
45,984310.9000599998
46,989222.4453199997
47,1003977.5034799998
48,1008595.9473799998
49,1005810.8947399998
50,1000554.3786199997
51,1021587.6873199998
52,1014355.3032999998
53,1010010.5780599997
54,1013719.8944999998
55,1007632.2219599998
56,1010996.8198199997
57,1009223.3173199998
58,1016266.3256599997
59,1031536.3322999999
60,1024922.7598599998
61,1015902.0773799999
62,1020977.8025199998
63,1022088.4455399999
64,1030788.1506799998
65,1023525.2151599998
66,1041080.8251599998
67,1058401.6551599998
68,1061941.4151599999
69,1082652.3651599996
70,1126227.2751599997
71,1088852.1051599998
72,1094673.8751599998
73,1130897.07516
74,1114092.24516
75,1149896.1951599997
76,1158437.28516
77,1181827.5651599998
78,1190314.4751599997
79,1198794.9351599996
80,1227959.25516
81,1277281.1151599996
82,1321702.2651599997
83,1378410.6651599999
84,1316525.49516
85,1363663.3851599998
86,1511657.3451599998
87,1689620.5851599998
88,1722212.4351599996
89,1616693.0151599997
90,1565091.7251599997
91,1633282.4151599999
92,1577927.2251599997
93,1604750.1951599997
94,1424262.4251599999
95,1315788.9051599996
96,1425311.1951599997
97,1422897.6051599998
98,1412247.3651599996
99,1358276.3451599998
100,1404696.99516
101,1420133.1351599998
102,1416792.03516
103,1379331.7251599997
104,1350976.2351599997
105,1372453.4451599997
106,1362430.1451599998
107,1355891.1351599998
108,1346208.3951599998
109,1375189.53516
110,1478518.53516
111,1503953.46516
112,1509663.00516
113,1568359.2951599997
114,1592909.28516
115,1527747.5151599997
116,1512463.5951599998
117,1530481.0251599997
118,1528378.32516
119,1644046.1751599999
120,1643345.70516
121,1672774.4751599997
122,1762681.0251599997
123,1773847.2651599997
124,1764468.96516
125,1913887.0851599998
126,1855964.7951599997
127,1850671.9251599999
128,1892648.5251599997
129,1975906.4151599999
130,1923039.6351599998
131,1929930.8151599998
132,1972262.1651599999
133,1964139.03516
134,1880794.71516
135,1864980.6051599998
136,1854512.25516
137,1873824.8451599998
138,1926483.9351599996
139,1928722.0851599998
140,1765893.1251599998
141,1789350.4851599997
142,1787050.4151599999
143,1833138.24516
144,1808703.0651599998
145,1833195.00516
146,1840532.5251599997
147,1836739.9251599999
148,1822232.5851599998
149,1838623.32516
150,1846643.25516
151,1835834.3451599998
152,1967802.6351599998
153,1945955.1951599997
154,1925664.78516
155,1927297.9251599999
156,1933456.3851599998
157,1874374.3851599998
158,1862285.7951599997
159,1855954.4751599997
160,1574984.7351599997
161,1675875.6351599998
162,1653254.1951599997
163,1675584.0951599998
164,1647694.2951599997
165,1820129.8851599998
166,1788115.95516
167,1656950.0451599997
168,1674980.3751599998
169,1741817.8551599998
170,1693266.1251599998
171,1698650.5851599998
172,1710389.5851599998
173,1651979.6751599999
174,1643548.2351599997
175,1635737.28516
176,1594756.5651599998
177,1614340.0551599998
178,1616975.5251599997
179,1600433.8551599998
180,1676020.1151599996
181,1649969.8551599998
182,1619607.1251599998
183,1620027.6651599999
184,1609285.8351599998
185,1621223.49516
186,1636660.9251599999
187,1615676.49516
188,1636753.8051599998
189,1668114.99516
190,1733467.6851599996
191,1707074.28516
192,1740557.5251599997
