Date	open	high	low	close	volume	MarketCap
May 14, 2021	NT$11,242.74	NT$11,786.14	NT$11,109.01	NT$11,523.08	NT$11,792,171,151	NT$206,372,072,853
May 13, 2021	NT$11,126.97	NT$11,805.13	NT$10,396.40	NT$11,285.73	NT$17,518,383,336	NT$202,113,335,651
May 12, 2021	NT$12,659.08	NT$13,343.80	NT$10,960.04	NT$10,960.04	NT$17,891,925,846	NT$196,272,532,308
May 11, 2021	NT$12,241.79	NT$12,607.50	NT$11,665.84	NT$12,582.59	NT$16,932,953,573	NT$225,320,084,519
May 10, 2021	NT$13,431.95	NT$13,806.22	NT$11,824.13	NT$12,263.65	NT$18,501,316,780	NT$219,599,934,663
May 09, 2021	NT$13,189.47	NT$13,468.56	NT$12,415.43	NT$13,404.74	NT$16,588,938,606	NT$240,023,137,189
May 08, 2021	NT$12,604.66	NT$13,464.24	NT$12,520.80	NT$13,179.92	NT$22,867,899,805	NT$235,987,183,343
May 07, 2021	NT$11,816.46	NT$14,473.96	NT$11,816.46	NT$12,782.92	NT$49,875,322,406	NT$228,869,240,165
May 06, 2021	NT$11,668.92	NT$12,169.89	NT$11,341.84	NT$11,814.85	NT$19,845,777,965	NT$211,528,457,522
May 05, 2021	NT$10,589.15	NT$11,660.41	NT$10,498.71	NT$11,643.55	NT$15,276,532,975	NT$208,452,546,739
May 04, 2021	NT$11,493.34	NT$11,502.45	NT$10,585.78	NT$10,617.65	NT$16,585,934,486	NT$190,077,703,589
May 03, 2021	NT$11,270.10	NT$11,866.93	NT$11,192.92	NT$11,474.70	NT$14,732,176,515	NT$205,412,459,927
May 02, 2021	NT$11,868.47	NT$11,887.42	NT$11,166.98	NT$11,287.51	NT$11,454,172,484	NT$202,052,812,766
May 01, 2021	NT$11,740.59	NT$12,081.09	NT$11,584.17	NT$11,876.78	NT$15,298,597,479	NT$212,591,855,832
Apr 30, 2021	NT$11,348.20	NT$11,780.18	NT$11,237.22	NT$11,753.88	NT$15,680,228,681	NT$210,383,793,027
Apr 29, 2021	NT$11,514.29	NT$11,825.86	NT$11,122.08	NT$11,335.08	NT$16,035,734,867	NT$202,878,845,324
Apr 28, 2021	NT$11,238.69	NT$12,270.30	NT$11,170.02	NT$11,568.57	NT$25,574,132,505	NT$207,049,050,683
Apr 27, 2021	NT$11,277.58	NT$11,473.30	NT$10,718.37	NT$11,205.39	NT$16,751,163,001	NT$200,540,170,537
Apr 26, 2021	NT$9,975.69	NT$11,290.66	NT$9,643.21	NT$11,286.38	NT$20,136,355,568	NT$201,981,654,050
Apr 25, 2021	NT$10,701.60	NT$11,327.77	NT$9,420.57	NT$9,967.15	NT$20,344,126,162	NT$178,365,262,836
Apr 24, 2021	NT$9,946.43	NT$11,106.81	NT$9,509.63	NT$10,672.35	NT$22,684,503,319	NT$190,976,609,846
Apr 23, 2021	NT$9,760.21	NT$9,972.22	NT$8,486.95	NT$9,972.22	NT$29,706,850,098	NT$178,440,638,976
Apr 22, 2021	NT$10,578.36	NT$10,969.10	NT$9,693.30	NT$9,777.64	NT$24,344,779,790	NT$174,951,803,229
Apr 21, 2021	NT$11,333.87	NT$11,913.80	NT$10,505.58	NT$10,649.32	NT$38,121,745,161	NT$190,540,597,086
Apr 20, 2021	NT$10,039.69	NT$11,633.25	NT$9,246.85	NT$11,285.86	NT$50,681,031,129	NT$201,921,056,780
Apr 19, 2021	NT$9,580.95	NT$10,357.22	NT$8,714.38	NT$10,073.37	NT$29,800,857,238	NT$180,220,512,392
Apr 18, 2021	NT$10,395.57	NT$10,733.57	NT$8,275.98	NT$9,548.02	NT$30,084,160,501	NT$170,813,772,168
Apr 17, 2021	NT$9,654.96	NT$10,700.91	NT$9,654.96	NT$10,387.90	NT$25,127,143,709	NT$185,831,520,271
Apr 16, 2021	NT$9,751.98	NT$9,840.78	NT$8,909.82	NT$9,670.47	NT$20,883,172,050	NT$172,989,679,679
Apr 15, 2021	NT$9,128.58	NT$9,909.64	NT$9,075.37	NT$9,785.53	NT$18,483,821,937	NT$175,040,085,046
Apr 14, 2021	NT$9,299.01	NT$9,424.46	NT$8,797.97	NT$9,142.74	NT$16,807,545,441	NT$163,535,339,011
Apr 13, 2021	NT$8,949.01	NT$9,424.51	NT$8,745.14	NT$9,310.42	NT$19,642,722,257	NT$166,493,865,238
Apr 12, 2021	NT$9,388.43	NT$9,823.82	NT$8,997.60	NT$8,997.60	NT$24,384,934,348	NT$160,899,750,282
Apr 11, 2021	NT$8,310.94	NT$9,386.27	NT$8,307.76	NT$9,313.81	NT$21,256,665,655	NT$166,554,519,285
Apr 10, 2021	NT$7,786.38	NT$8,503.20	NT$7,786.38	NT$8,333.84	NT$18,703,222,958	NT$149,030,202,456
Apr 09, 2021	NT$7,664.73	NT$8,236.85	NT$7,578.19	NT$7,773.13	NT$15,751,605,197	NT$139,003,127,106
Apr 08, 2021	NT$7,317.48	NT$7,719.10	NT$7,143.36	NT$7,660.87	NT$15,325,773,426	NT$136,993,678,292
