Date	open	high	low	close	volume	MarketCap
May 14, 2021	NT$1,387,745.00	NT$1,436,769.49	NT$1,364,997.08	NT$1,393,263.01	NT$1,556,859,723,109	NT$26,068,289,472,859
May 13, 2021	NT$1,395,029.13	NT$1,439,778.83	NT$1,317,742.55	NT$1,394,489.46	NT$2,712,931,618,413	NT$26,090,086,171,179
May 12, 2021	NT$1,584,150.28	NT$1,618,362.21	NT$1,372,872.66	NT$1,372,872.66	NT$2,100,916,586,705	NT$25,684,250,929,406
May 11, 2021	NT$1,549,403.52	NT$1,577,849.14	NT$1,515,040.61	NT$1,573,188.99	NT$1,700,915,624,291	NT$29,430,157,780,453
May 10, 2021	NT$1,617,545.18	NT$1,652,769.15	NT$1,501,488.62	NT$1,551,148.37	NT$1,993,134,203,539	NT$29,016,169,272,918
May 09, 2021	NT$1,632,057.66	NT$1,641,301.96	NT$1,565,658.55	NT$1,614,176.51	NT$1,826,907,093,751	NT$30,193,423,440,943
May 08, 2021	NT$1,589,795.73	NT$1,648,335.27	NT$1,579,330.05	NT$1,630,017.14	NT$1,812,390,069,977	NT$30,487,788,499,060
May 07, 2021	NT$1,577,475.06	NT$1,638,787.89	NT$1,546,937.03	NT$1,603,828.27	NT$1,913,586,241,790	NT$29,996,138,761,616
May 06, 2021	NT$1,606,231.27	NT$1,632,013.37	NT$1,548,661.02	NT$1,577,015.73	NT$1,944,079,621,413	NT$29,492,993,270,910
May 05, 2021	NT$1,486,172.12	NT$1,616,201.98	NT$1,478,271.04	NT$1,602,600.70	NT$1,932,400,585,275	NT$29,969,863,891,558
May 04, 2021	NT$1,597,763.16	NT$1,597,763.16	NT$1,485,423.74	NT$1,489,392.38	NT$1,914,738,006,768	NT$27,851,274,006,052
May 03, 2021	NT$1,577,553.98	NT$1,643,114.26	NT$1,576,734.74	NT$1,593,714.46	NT$1,440,831,427,969	NT$29,800,189,300,028
May 02, 2021	NT$1,611,115.28	NT$1,613,253.07	NT$1,564,197.73	NT$1,577,826.76	NT$1,063,679,778,745	NT$29,501,483,753,906
May 01, 2021	NT$1,608,017.13	NT$1,628,458.39	NT$1,589,561.94	NT$1,611,176.23	NT$1,193,487,120,883	NT$30,123,143,759,213
Apr 30, 2021	NT$1,492,422.97	NT$1,613,114.06	NT$1,480,190.68	NT$1,608,919.94	NT$1,459,750,665,093	NT$30,079,602,977,146
Apr 29, 2021	NT$1,526,464.80	NT$1,533,636.94	NT$1,458,568.33	NT$1,490,208.38	NT$1,282,456,733,372	NT$27,858,913,703,591
Apr 28, 2021	NT$1,536,127.59	NT$1,569,357.54	NT$1,504,065.67	NT$1,530,212.34	NT$1,339,743,991,741	NT$28,605,654,793,989
Apr 27, 2021	NT$1,503,182.54	NT$1,541,760.95	NT$1,483,398.48	NT$1,531,081.93	NT$1,375,703,999,582	NT$28,620,494,699,290
Apr 26, 2021	NT$1,376,484.84	NT$1,522,615.60	NT$1,370,174.39	NT$1,515,148.16	NT$1,634,692,464,961	NT$28,321,300,856,514
Apr 25, 2021	NT$1,403,841.78	NT$1,416,552.42	NT$1,322,691.53	NT$1,374,432.09	NT$1,293,455,926,515	NT$25,689,999,531,701
Apr 24, 2021	NT$1,434,424.30	NT$1,435,106.88	NT$1,368,851.58	NT$1,403,786.71	NT$1,374,719,338,011	NT$26,237,360,411,772
Apr 23, 2021	NT$1,453,888.57	NT$1,464,594.25	NT$1,340,782.01	NT$1,435,731.58	NT$2,435,389,551,703	NT$26,833,230,365,583
Apr 22, 2021	NT$1,513,031.94	NT$1,556,664.49	NT$1,421,073.85	NT$1,454,180.80	NT$2,101,351,593,816	NT$27,176,830,184,054
Apr 21, 2021	NT$1,583,489.89	NT$1,591,533.20	NT$1,505,658.52	NT$1,511,564.39	NT$1,540,180,607,241	NT$28,247,906,708,753
Apr 20, 2021	NT$1,566,312.12	NT$1,605,141.17	NT$1,503,477.57	NT$1,588,569.46	NT$1,908,581,128,063	NT$29,685,934,203,786
Apr 19, 2021	NT$1,591,637.80	NT$1,629,267.00	NT$1,540,001.23	NT$1,578,400.95	NT$1,850,906,309,250	NT$29,494,680,529,998
Apr 18, 2021	NT$1,715,829.86	NT$1,725,880.59	NT$1,493,306.08	NT$1,589,034.79	NT$2,755,103,891,825	NT$29,692,414,944,602
