Date	open	high	low	close	volume	MarketCap
May 14, 2021	NT$103,910.45	NT$116,504.84	NT$103,443.37	NT$113,936.23	NT$1,345,603,695,412	NT$13,202,438,386,600
May 13, 2021	NT$107,397.33	NT$113,109.37	NT$99,557.32	NT$104,206.20	NT$2,198,991,519,598	NT$12,073,559,723,270
May 12, 2021	NT$116,605.93	NT$121,849.17	NT$105,746.32	NT$105,746.32	NT$1,927,961,041,902	NT$12,250,557,895,130
May 11, 2021	NT$109,539.28	NT$115,918.55	NT$104,978.72	NT$115,654.77	NT$1,461,525,575,443	NT$13,396,882,294,460
May 10, 2021	NT$108,975.46	NT$116,557.96	NT$102,312.06	NT$109,749.67	NT$1,740,863,212,209	NT$12,711,388,208,329
May 09, 2021	NT$108,424.19	NT$110,358.91	NT$103,781.88	NT$108,906.00	NT$1,401,732,779,189	NT$12,612,196,101,832
May 08, 2021	NT$96,519.32	NT$109,496.99	NT$95,737.08	NT$108,179.83	NT$1,391,759,295,065	NT$12,526,643,858,337
May 07, 2021	NT$97,592.06	NT$99,918.11	NT$94,240.95	NT$97,441.72	NT$1,107,517,383,683	NT$11,281,908,910,337
May 06, 2021	NT$98,567.64	NT$100,635.93	NT$94,689.43	NT$97,615.49	NT$1,238,771,939,446	NT$11,300,726,192,571
May 05, 2021	NT$90,438.05	NT$98,835.85	NT$89,671.88	NT$98,314.54	NT$1,348,920,523,634	NT$11,380,324,724,838
May 04, 2021	NT$95,817.78	NT$98,399.66	NT$88,825.42	NT$90,860.86	NT$1,742,639,513,080	NT$10,516,300,460,496
May 03, 2021	NT$82,225.66	NT$96,124.95	NT$82,225.66	NT$95,596.92	NT$1,370,094,024,704	NT$11,063,157,993,820
May 02, 2021	NT$82,067.72	NT$83,163.57	NT$79,698.55	NT$82,248.71	NT$781,013,931,499	NT$9,517,297,099,762
May 01, 2021	NT$77,255.43	NT$82,231.57	NT$76,783.74	NT$82,076.99	NT$800,355,168,185	NT$9,496,326,040,370
Apr 30, 2021	NT$76,830.47	NT$77,898.09	NT$76,006.82	NT$77,261.55	NT$829,592,231,699	NT$8,938,125,289,721
Apr 29, 2021	NT$76,483.10	NT$77,855.54	NT$74,353.24	NT$76,712.03	NT$906,509,216,001	NT$8,873,531,029,974
Apr 28, 2021	NT$74,374.04	NT$76,963.95	NT$71,566.08	NT$76,654.21	NT$956,482,926,370	NT$8,865,809,027,600
Apr 27, 2021	NT$70,499.54	NT$74,460.20	NT$69,145.87	NT$74,083.84	NT$897,952,999,394	NT$8,567,517,867,597
Apr 26, 2021	NT$65,054.40	NT$71,136.66	NT$64,741.32	NT$71,084.61	NT$987,487,902,722	NT$8,219,708,831,345
Apr 25, 2021	NT$62,108.11	NT$66,025.54	NT$60,932.97	NT$64,958.99	NT$892,303,592,872	NT$7,510,502,987,707
Apr 24, 2021	NT$66,393.31	NT$66,408.50	NT$60,685.54	NT$62,029.91	NT$893,421,873,714	NT$7,171,009,304,117
Apr 23, 2021	NT$67,475.30	NT$68,550.99	NT$59,488.81	NT$66,416.77	NT$1,557,131,543,292	NT$7,677,262,571,843
Apr 22, 2021	NT$66,240.73	NT$74,197.47	NT$65,063.31	NT$67,523.60	NT$1,505,132,000,559	NT$7,804,289,254,319
Apr 21, 2021	NT$65,367.36	NT$69,182.03	NT$62,765.37	NT$66,309.29	NT$1,090,757,047,170	NT$7,663,045,205,725
Apr 20, 2021	NT$60,814.71	NT$65,987.64	NT$57,951.23	NT$65,548.13	NT$1,109,252,055,619	NT$7,574,202,145,597
